CHAPTER	O
I	O
THERE	O
IS	O
NO	B-PER
ONE	I-PER
LEFT	O
When	O
Mary	B-PER
Lennox	I-PER
was	O
sent	O
to	O
Misselthwaite	B-FAC
Manor	I-FAC
to	O
live	O
with	O
her	B-PER
uncle	I-PER
everybody	B-PER
said	O
she	O
was	O
the	B-PER
most	I-PER
disagreeable-looking	I-PER
child	I-PER
ever	I-PER
seen	I-PER
.	O

It	O
was	O
true	O
,	O
too	O
.	O

She	O
had	O
a	O
little	O
thin	O
face	O
and	O
a	O
little	O
thin	O
body	O
,	O
thin	O
light	O
hair	O
and	O
a	O
sour	O
expression	O
.	O

Her	O
hair	O
was	O
yellow	O
,	O
and	O
her	O
face	O
was	O
yellow	O
because	O
she	O
had	O
been	O
born	O
in	O
India	B-GPE
and	O
had	O
always	O
been	O
ill	O
in	O
one	O
way	O
or	O
another	O
.	O

Her	B-PER
father	I-PER
had	O
held	O
a	O
position	O
under	O
the	B-ORG
English	I-ORG
Government	I-ORG
and	O
had	O
always	O
been	O
busy	O
and	O
ill	O
himself	O
,	O
and	O
her	B-PER
mother	I-PER
had	O
been	O
a	O
great	O
beauty	O
who	O
cared	O
only	O
to	O
go	O
to	O
parties	O
and	O
amuse	O
herself	O
with	O
gay	B-PER
people	I-PER
.	O

She	O
had	O
not	O
wanted	O
a	B-PER
little	I-PER
girl	I-PER
at	O
all	O
,	O
and	O
when	O
Mary	B-PER
was	O
born	O
she	O
handed	O
her	O
over	O
to	O
the	O
care	O
of	O
an	B-PER
Ayah	I-PER
,	I-PER
who	I-PER
was	I-PER
made	I-PER
to	I-PER
understand	I-PER
that	I-PER
if	I-PER
she	I-PER
wished	I-PER
to	I-PER
please	I-PER
the	I-PER
Mem	I-PER
Sahib	I-PER
she	I-PER
must	I-PER
keep	I-PER
the	I-PER
child	I-PER
out	I-PER
of	I-PER
sight	I-PER
as	I-PER
much	I-PER
as	I-PER
possible	I-PER
.	O

So	O
when	O
she	O
was	O
a	B-PER
sickly	I-PER
,	I-PER
fretful	I-PER
,	I-PER
ugly	I-PER
little	I-PER
baby	I-PER
she	O
was	O
kept	O
out	O
of	O
the	O
way	O
,	O
and	O
when	O
she	O
became	O
a	B-PER
sickly	I-PER
,	I-PER
fretful	I-PER
,	I-PER
toddling	I-PER
thing	I-PER
she	O
was	O
kept	O
out	O
of	O
the	O
way	O
also	O
.	O

She	O
never	O
remembered	O
seeing	O
familiarly	O
anything	O
but	O
the	O
dark	O
faces	O
of	O
her	B-PER
Ayah	I-PER
and	O
the	B-PER
other	I-PER
native	I-PER
servants	I-PER
,	O
and	O
as	O
they	O
always	O
obeyed	O
her	O
and	O
gave	O
her	O
her	O
own	O
way	O
in	O
everything	O
,	O
because	O
the	B-PER
Mem	I-PER
Sahib	I-PER
would	O
be	O
angry	O
if	O
she	O
was	O
disturbed	O
by	O
her	O
crying	O
,	O
by	O
the	O
time	O
she	O
was	O
six	O
years	O
old	O
she	O
was	O
as	B-PER
tyrannical	I-PER
and	I-PER
selfish	I-PER
a	I-PER
little	I-PER
pig	I-PER
as	I-PER
ever	I-PER
lived	I-PER
.	O

The	B-PER
young	I-PER
English	I-PER
governess	I-PER
who	I-PER
came	I-PER
to	I-PER
teach	I-PER
her	I-PER
to	I-PER
read	I-PER
and	I-PER
write	I-PER
disliked	O
her	O
so	O
much	O
that	O
she	O
gave	O
up	O
her	O
place	O
in	O
three	O
months	O
,	O
and	O
when	O
other	B-PER
governesses	I-PER
came	O
to	O
try	O
to	O
fill	O
it	O
they	O
always	O
went	O
away	O
in	O
a	O
shorter	O
time	O
than	O
the	B-PER
